code,name,cate_code,cate_name
92780,동양피스톤,33001,자동차용 엔진 및 자동차 제조업
104460,동양피엔에프,32901,일반 목적용 기계 제조업
88910,동우팜투테이블,31001,"도축, 육류 가공 및 저장 처리업"
94170,동운아나텍,32601,반도체 제조업
3580,동원,20702,기타 비금속광물 광업
49770,동원F&B,31007,기타 식품 제조업
13120,동원개발,64101,건물 건설업
18500,동원금속,33003,자동차 신품 부품 제조업
6040,동원산업,10301,어로 어업
30720,동원수산,10301,어로 어업
14820,동원시스템즈,32202,플라스틱제품 제조업
163560,동일고무벨트,32201,고무제품 제조업
109860,동일금속,32403,금속 주조업
32960,동일기연,32602,전자부품 제조업
1530,동일방직,31301,방적 및 가공사 제조업
4890,동일산업,32401,1차 철강 제조업
2690,동일제강,32401,1차 철강 제조업
23790,동일철강,32401,1차 철강 제조업
5290,동진쎄미켐,32001,기초 화학물질 제조업
25900,동화기업,31602,나무제품 제조업
20,동화약품,32102,의약품 제조업
150,두산,137105,회사 본부 및 경영 컨설팅 서비스업
11160,두산건설,64101,건물 건설업
241560,두산밥캣,116409,기타 금융업
42670,두산인프라코어,32902,특수 목적용 기계 제조업
34020,두산중공업,32901,일반 목적용 기계 제조업
16740,두올,33003,자동차 신품 부품 제조업
78590,두올산업,33003,자동차 신품 부품 제조업
270020,두원석재,20701,토사석 광업
73190,듀오백,33201,가구 제조업
176750,듀켐바이오,32102,의약품 제조업
30350,드래곤플라이,105802,소프트웨어 개발 및 공급업
203650,드림시큐리티,105802,소프트웨어 개발 및 공급업
220110,드림티엔터테인먼트,137309,"그외 기타 전문, 과학 및 기술 서비스업"
217620,디딤,95601,음식점업
187870,디바이스이엔지,32902,특수 목적용 기계 제조업
66670,디스플레이텍,32602,전자부품 제조업
24090,디씨엠,32401,1차 철강 제조업
3160,디아이,32702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
92200,디아이씨,33003,자동차 신품 부품 제조업
214680,디알텍,32701,의료용 기기 제조업
263720,디앤씨미디어,105801,"서적, 잡지 및 기타 인쇄물 출판업"
109740,디에스케이,32902,특수 목적용 기계 제조업
33430,디에스티,32902,특수 목적용 기계 제조업
90710,디에스티로봇,32902,특수 목적용 기계 제조업
131030,디에이치피코리아,32102,의약품 제조업
196490,디에이테크놀로지,32902,특수 목적용 기계 제조업
66900,디에이피,32602,전자부품 제조업
127120,디엔에이링크,137001,자연과학 및 공학 연구개발업
92070,디엔에프,32004,기타 화학제품 제조업
101000,디엠씨,32902,특수 목적용 기계 제조업
134580,디엠티,32604,통신 및 방송 장비 제조업
