code,name,cate_code,cate_name
15750,성우하이텍,33003,자동차 신품 부품 제조업
5980,성지건설,64102,토목 건설업
180,성창기업지주,137105,회사 본부 및 경영 컨설팅 서비스업
80470,성창오토텍,33003,자동차 신품 부품 제조업
43260,성호전자,32602,전자부품 제조업
2420,세기상사,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업"
53060,세동,33003,자동차 신품 부품 제조업
17510,세명전기,32509,기타 금속 가공제품 제조업
214310,세미콘라이트,32601,반도체 제조업
4360,세방,84903,도로 화물 운송업
4490,세방전지,32802,일차전지 및 축전지 제조업
11560,세보엠이씨,64202,건물설비 설치 공사업
110660,세신버팔로,32509,기타 금속 가공제품 제조업
1430,세아베스틸,32401,1차 철강 제조업
3030,세아제강,32401,1차 철강 제조업
19440,세아특수강,32401,1차 철강 제조업
58650,세아홀딩스,116409,기타 금융업
13000,세우글로벌,74607,기타 전문 도매업
100700,세운메디칼,32103,의료용품 및 기타 의약 관련제품 제조업
234100,세원,33003,자동차 신품 부품 제조업
24830,세원물산,33003,자동차 신품 부품 제조업
91090,세원셀론텍,32501,"구조용 금속제품, 탱크 및 증기발생기 제조업"
21820,세원정공,33003,자동차 신품 부품 제조업
67830,세이브존I&C,74701,종합 소매업
33530,세종공업,33003,자동차 신품 부품 제조업
