code,ratio of operating profit to revenue,ROS,ROE,ROA,debt ratio,EPS,BPS,PER,PBR,cash dividend yield ratio,cash dividend payout ratio,sales_qoq,operating revenue_qoq,net income_qoq,assets_qoq,equity_qoq,assets_turnover_ratio,equity_turnover_ratio,median,var,skew,kurt,slope
060310,12.7,4.19,-22.67,-12.83,84.68,9.0,671.0,-10.8,2.75,,,0.2777777777777778,-3.4,-1.5,0.042,0.010752688172043012,0.1802154750244858,0.32798573975044565,2647.5,252376.5418227214,0.30822045607964305,-1.1448273848834578,9.198448629183716e-14
095570,3.94,0.1,5.27,0.93,426.47,19.0,6168.0,21.76,1.13,1.2,442.02,-0.0029617662897145933,-0.2980769230769231,-0.9518072289156626,0.043250908446335196,0.0026905829596412557,0.16062288539949685,0.829153605015674,6370.0,273041.44818976364,0.014029563163332783,-0.8539934534572007,-1.4058886536617879e-13
068400,4.79,0.48,5.27,1.03,393.95,35.0,11134.0,17.4,0.89,,0.0,-0.0427710843373494,-0.40625,-0.8431372549019608,-0.0050707450723807964,0.002442002442002442,0.1302886192194162,0.6459349593495934,11900.0,2111775.3932584277,0.08940712994137713,-0.882058910143741,-2.648250611128081e-13
006840,6.14,2.87,15.07,6.52,155.61,738.0,54400.0,9.11,1.26,,85.79,0.052102587800369686,-0.3704954954954955,-0.6610389610389611,0.014783417760777422,0.014976654039291692,0.3115261600561,0.79634487583071,75950.0,10405972.534332123,0.8116989611854245,1.1661442339878247,2.4179487847343374e-13
054620,30.17,92.07,348.19,167.95,26.47,-1231.0,14966.0,0.18,0.5,,-2.72,-1.625418060200669,-4.111111111111111,-25.571428571428573,-0.10914681014604151,-0.03627760252365931,-0.07601626016260163,-0.1001338688085676,6375.0,989581.0112359555,0.10283048756916612,-0.7430116298685534,-2.741143287110498e-13
265520,-8.85,-6.69,,,422.97,-904.0,5856.0,23.47,5.99,,-3.2,-0.15892420537897312,-9.714285714285714,-24.0,0.015625,-0.1276803118908382,0.4444444444444444,2.148880791254555,24225.0,10135916.354556791,0.7272657712422953,0.109804152307734,-7.762417512951906e-13
211270,27.18,8.9,0.08,0.07,26.4,84.0,5876.0,1954.76,1.45,,,0.7974683544303798,3.875,0.0,0.07796257796257797,0.018610421836228287,0.14207103551775888,0.17455439459127228,8075.0,127188.52684144763,-0.31458523837228153,1.4255882964449507,-6.305467023570387e-14
027410,8.16,7909.82,428.57,252.03,18.32,86936.0,21957.0,0.2,0.69,,0.19,0.5181159420289855,0.1724137931034483,34.373931623931625,-0.6132071219292314,-1.2802597001082083,0.027237859975297405,-0.04499570446735395,12350.0,1805274.856429461,-0.08227496046871578,-0.4399058968114633,-3.679896227438102e-13
282330,2.83,2.98,,,228.67,2442.0,22497.0,,9.33,,61.73,,,,,,,,179750.0,180406242.19725326,-0.1737126479361777,-0.4601367897009734,1.470700482413041e-12
138930,-4.3,-4.24,5.83,0.45,1132.36,-255.0,21654.0,7.62,0.44,,-90.08,0.7778332501248127,-1.3489963503649636,-1.4684014869888475,-0.01814991763282033,-0.016961775015729125,0.01869840021297588,0.23057348761015534,10175.0,360751.07365792664,-0.4299981644056143,-0.7608324548784182,-1.611647165699752e-13
001460,7.4,-0.05,1.56,0.84,86.77,-21.0,478514.0,41.47,0.64,,-4143.57,0.1522633744855967,0.3225806451612903,-1.0,0.008246586453967825,-0.0007507507507507507,0.07539548973409627,0.14019276505194642,276750.0,221189013.73283398,-0.4648882877267182,-0.6238506622323796,-4.0709801461284415e-12
032040,-2.78,0.11,-117.01,-11.56,1690.34,56.0,1689.0,-0.96,2.59,,0.0,-0.04940711462450593,-0.5,-1.0096153846153846,-0.32900302114803626,-0.30337078651685395,0.17392876514192732,3.185430463576159,4375.0,0.0,0.0,0.0,0.0
001040,3.79,0.2,12.1,4.04,144.54,-293.0,138058.0,12.31,1.31,,-449.41,-0.012200818105900837,-0.38712664968742766,-0.968798751950078,-0.012636065816630584,-0.010756768350023923,0.23646827420412325,0.5788063761673329,157500.0,90697534.3320852,-0.4460329018612055,-1.1264825453821745,-2.206802262168534e-12
079160,9.38,-2.26,-0.41,0.4,216.35,-705.0,14554.0,-1119.52,5.1,,-49.63,-0.03833121558661584,0.32298136645962733,-1.3377483443708609,-0.019255302184659543,-0.12970008952551476,0.18279158699808795,0.5434093220846048,67900.0,18904099.875156004,0.3684266611311012,-1.1891950285966444,-6.205649124486015e-13
